Date,Open,High,Low,Close,Adj Close,Volume
1988-01-04,247.100006,256.440002,247.080002,255.940002,255.940002,181810000
1988-01-05,255.949997,261.779999,255.949997,258.630005,258.630005,209520000
1988-01-06,258.640015,259.790009,257.179993,258.890015,258.890015,169730000
1988-01-07,258.869995,261.320007,256.179993,261.070007,261.070007,175360000
1988-01-08,261.049988,261.070007,242.949997,243.399994,243.399994,197300000
1988-01-11,243.380005,247.509995,241.070007,247.490005,247.490005,158980000
1988-01-12,247.440002,247.490005,240.460007,245.419998,245.419998,165730000
1988-01-13,245.410004,249.250000,241.410004,245.809998,245.809998,154020000
1988-01-14,245.830002,247.000000,243.970001,245.880005,245.880005,140570000
1988-01-15,246.020004,253.649994,245.880005,252.050003,252.050003,197940000
1988-01-18,252.050003,252.860001,249.979996,251.880005,251.880005,135100000
1988-01-19,251.839996,253.330002,248.750000,249.320007,249.320007,153550000
1988-01-20,249.309998,249.320007,241.139999,242.630005,242.630005,181660000
1988-01-21,242.649994,244.250000,240.169998,243.139999,243.139999,158080000
1988-01-22,243.139999,246.500000,243.139999,246.500000,246.500000,147050000
1988-01-25,246.529999,252.869995,246.500000,252.169998,252.169998,275250000
1988-01-26,252.130005,252.169998,249.100006,249.570007,249.570007,138380000
1988-01-27,249.580002,253.020004,248.500000,249.380005,249.380005,176360000
1988-01-28,249.389999,253.660004,249.380005,253.289993,253.289993,166430000
1988-01-29,253.309998,257.070007,252.699997,257.070007,257.070007,211880000
1988-02-01,257.049988,258.269989,254.929993,255.039993,255.039993,210660000
1988-02-02,255.050003,256.079987,252.800003,255.570007,255.570007,164920000
1988-02-03,255.559998,256.980011,250.559998,252.210007,252.210007,237270000
1988-02-04,252.199997,253.029999,250.339996,252.210007,252.210007,186490000
1988-02-05,252.220001,253.850006,250.899994,250.960007,250.960007,161310000
1988-02-08,250.949997,250.960007,247.820007,249.100006,249.100006,168850000
1988-02-09,249.110001,251.720001,248.660004,251.720001,251.720001,162350000
1988-02-10,251.740005,256.920013,251.720001,256.660004,256.660004,187980000
1988-02-11,256.630005,257.769989,255.119995,255.949997,255.949997,200760000
1988-02-12,255.949997,258.859985,255.850006,257.630005,257.630005,177190000
1988-02-16,257.609985,259.839996,256.570007,259.829987,259.829987,135380000
1988-02-17,259.940002,261.470001,257.829987,259.209991,259.209991,176830000
1988-02-18,258.820007,259.600006,256.899994,257.910004,257.910004,151430000
1988-02-19,257.899994,261.609985,257.619995,261.609985,261.609985,180300000
1988-02-22,261.600006,266.059998,260.880005,265.640015,265.640015,178930000
1988-02-23,265.619995,266.119995,263.109985,265.019989,265.019989,192260000
1988-02-24,265.010010,266.250000,263.869995,264.429993,264.429993,212730000
1988-02-25,264.390015,267.750000,261.049988,261.579987,261.579987,213490000
1988-02-26,261.559998,263.000000,261.380005,262.459991,262.459991,158060000
1988-02-29,262.459991,267.820007,262.459991,267.820007,267.820007,236050000
1988-03-01,267.820007,267.950012,265.390015,267.220001,267.220001,199990000
1988-03-02,267.230011,268.750000,267.000000,267.980011,267.980011,199630000
1988-03-03,267.980011,268.399994,266.820007,267.880005,267.880005,203310000
1988-03-04,267.869995,268.399994,264.720001,267.299988,267.299988,201410000
1988-03-07,267.279999,267.690002,265.940002,267.380005,267.380005,152980000
1988-03-08,267.380005,270.059998,267.380005,269.429993,269.429993,237680000
1988-03-09,269.459991,270.760010,268.649994,269.059998,269.059998,210900000
1988-03-10,269.070007,269.350006,263.799988,263.839996,263.839996,197260000
1988-03-11,263.850006,264.940002,261.269989,264.940002,264.940002,200020000
1988-03-14,264.929993,266.549988,264.519989,266.369995,266.369995,131890000
1988-03-15,266.339996,266.410004,264.920013,266.130005,266.130005,133170000
1988-03-16,266.109985,268.679993,264.809998,268.649994,268.649994,153590000
1988-03-17,268.660004,271.220001,268.649994,271.220001,271.220001,211920000
1988-03-18,271.220001,272.640015,269.760010,271.119995,271.119995,245750000
1988-03-21,271.100006,271.119995,267.420013,268.739990,268.739990,128830000
1988-03-22,268.730011,269.609985,267.899994,268.839996,268.839996,142000000
1988-03-23,268.809998,269.790009,268.010010,268.910004,268.910004,167370000
1988-03-24,268.910004,268.910004,262.480011,263.350006,263.350006,184910000
1988-03-25,263.339996,263.440002,258.119995,258.510010,258.510010,163170000
1988-03-28,258.500000,258.510010,256.070007,258.059998,258.059998,142820000
1988-03-29,258.109985,260.859985,258.059998,260.070007,260.070007,152690000
1988-03-30,260.059998,261.589996,257.920013,258.070007,258.070007,151810000
1988-03-31,258.029999,259.029999,256.160004,258.890015,258.890015,139870000
1988-04-04,258.890015,259.059998,255.679993,256.089996,256.089996,182240000
1988-04-05,256.100006,258.519989,256.029999,258.510010,258.510010,135290000
1988-04-06,258.519989,265.500000,258.220001,265.489990,265.489990,189760000
1988-04-07,265.510010,267.320007,265.220001,266.160004,266.160004,177840000
1988-04-08,266.149994,270.220001,266.109985,269.429993,269.429993,169300000
1988-04-11,269.429993,270.410004,268.609985,270.160004,270.160004,146370000
1988-04-12,269.880005,272.049988,269.660004,271.369995,271.369995,146400000
1988-04-13,271.329987,271.700012,269.230011,271.579987,271.579987,185120000
1988-04-14,271.549988,271.570007,259.369995,259.750000,259.750000,211810000
1988-04-15,259.739990,260.390015,255.970001,259.769989,259.769989,234160000
1988-04-18,259.750000,259.809998,258.029999,259.209991,259.209991,144650000
1988-04-19,259.239990,262.380005,257.910004,257.920013,257.920013,161910000
1988-04-20,257.910004,258.540009,256.119995,256.130005,256.130005,147590000
1988-04-21,256.149994,260.440002,254.710007,256.420013,256.420013,168440000
1988-04-22,256.450012,261.160004,256.420013,260.140015,260.140015,152520000
1988-04-25,260.149994,263.290009,260.140015,262.510010,262.510010,156950000
1988-04-26,262.450012,265.059998,262.179993,263.929993,263.929993,152300000
1988-04-27,263.940002,265.089996,263.450012,263.799988,263.799988,133810000
1988-04-28,263.790009,263.799988,262.220001,262.609985,262.609985,128680000
1988-04-29,262.589996,262.609985,259.970001,261.329987,261.329987,135620000
1988-05-02,261.359985,261.559998,259.989990,261.559998,261.559998,136470000
1988-05-03,261.549988,263.700012,261.549988,263.000000,263.000000,176920000
1988-05-04,263.049988,263.230011,260.309998,260.320007,260.320007,141320000
1988-05-05,260.299988,260.320007,258.130005,258.790009,258.790009,171840000
1988-05-06,258.799988,260.309998,257.029999,257.480011,257.480011,129080000
1988-05-09,257.470001,258.220001,255.449997,256.540009,256.540009,166320000
1988-05-10,256.529999,258.299988,255.929993,257.619995,257.619995,131200000
1988-05-11,257.600006,257.619995,252.320007,253.309998,253.309998,176720000
1988-05-12,253.320007,254.869995,253.309998,253.850006,253.850006,143880000
1988-05-13,253.880005,256.829987,253.850006,256.779999,256.779999,147240000
1988-05-16,256.750000,258.709991,256.279999,258.709991,258.709991,155010000
1988-05-17,258.720001,260.200012,255.350006,255.389999,255.389999,133850000
1988-05-18,255.399994,255.669998,250.729996,251.350006,251.350006,209420000
1988-05-19,251.360001,252.570007,248.850006,252.570007,252.570007,165160000
1988-05-20,252.610001,253.699997,251.789993,253.020004,253.020004,120600000
1988-05-23,253.000000,253.020004,249.820007,250.830002,250.830002,102640000
1988-05-24,250.839996,253.509995,250.830002,253.509995,253.509995,139930000
1988-05-25,253.520004,255.339996,253.509995,253.759995,253.759995,138310000
1988-05-26,253.750000,254.979996,253.520004,254.630005,254.630005,164260000
1988-05-27,254.619995,254.630005,252.740005,253.419998,253.419998,133590000
